Symbol,Security Name,1-Month Close Price,1-Month Change (%),6-Month Close Price,6-Month Change (%),1-Year Close Price,1-Year Change (%),5-Year Close Price,5-Year Change (%),Current Close Price
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",0.67,-7.463,1.87,-66.845,1.21,-48.76,1.87,-66.845,0.62
AADI,"Aadi Bioscience, Inc. - Common Stock",1.57,-1.274,10.17,-84.759,6.27,-75.279,10.17,-84.759,1.55
AADR,AdvisorShares Dorsey Wright ADR ETF,63.09,-1.062,45.784,36.337,50.689,23.143,45.784,36.337,62.42
AAGR,African Agriculture Holdings Inc. - Common Stock,0.163,-17.178,7.025,-98.078,7.462,-98.191,7.025,-98.078,0.135
AAL,"American Airlines Group, Inc. - Common Stock",10.48,-0.763,25.016,-58.427,14.78,-29.635,25.016,-58.427,10.4
AAME,Atlantic American Corporation - Common Stock,1.6,-4.375,2.647,-42.209,1.973,-22.435,2.647,-42.209,1.53
AAOI,"Applied Optoelectronics, Inc. - Common Stock",9.85,-9.442,9.12,-2.193,15.33,-41.813,9.12,-2.193,8.92
AAON,"AAON, Inc. - Common Stock",90.05,2.11,30.075,205.736,61.309,49.978,30.075,205.736,91.95
AAPB,GraniteShares 2x Long AAPL Daily ETF,28.66,0.209,21.998,30.559,21.626,32.803,21.998,30.559,28.72
AAPD,Direxion Daily AAPL Bear 1X Shares,17.09,-0.527,22.815,-25.487,20.688,-17.826,22.815,-25.487,17
AAPL,Apple Inc. - Common Stock,224.75,0.734,49.952,353.233,180.198,25.64,49.952,353.233,226.4
AAPU,Direxion Daily AAPL Bull 2X Shares,36.74,-0.027,23.955,53.327,25.36,44.837,23.955,53.327,36.73
AAXJ,iShares MSCI All Country Asia ex Japan ETF,71.78,2.118,58.838,24.578,63.599,15.253,58.838,24.578,73.3
ABAT,American Battery Technology Company - Common Stock,1.02,3.431,1.77,-40.395,8.7,-87.874,1.77,-40.395,1.055
ABCL,AbCellera Biologics Inc. - Common Shares,3.1,-14.839,58.9,-95.518,5.56,-52.518,58.9,-95.518,2.64
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,27.123,1.342,24.714,11.219,24.714,11.219,24.714,11.219,27.487
ABEO,Abeona Therapeutics Inc. - Common Stock,5.13,2.144,47,-88.851,4.13,26.877,47,-88.851,5.24
ABIO,"ARCA biopharma, Inc. - Common Stock",3.12,24.038,5.59,-30.769,2.05,88.78,5.59,-30.769,3.87
ABL,"Abacus Life, Inc. - Class A Common Stock",10.78,-5.288,9.71,5.149,7.59,34.519,9.71,5.149,10.21
ABLLL,"Abacus Life, Inc. - 9.875% Fixed Rate Senior Notes due 2028",25.313,0.146,23.711,6.913,23.711,6.913,23.711,6.913,25.35
ABLV,Able View Global Inc. - Class B Ordinary Shares,1.16,49.138,3.5,-50.571,3.5,-50.571,3.5,-50.571,1.73
ABNB,"Airbnb, Inc. - Class A Common Stock",148.75,-20.887,144.71,-18.679,128.13,-8.156,144.71,-18.679,117.68
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",3.54,-19.492,20.1,-85.821,6.5,-56.154,20.1,-85.821,2.85
ABSI,Absci Corporation - Common Stock,4.45,-2.247,21.59,-79.852,1.62,168.519,21.59,-79.852,4.35
ABTS,Abits Group Inc - Ordinary Shares,0.47,12.766,1.58,-66.456,1.32,-59.848,1.58,-66.456,0.53
ABUS,Arbutus Biopharma Corporation - Common Stock,3.83,1.044,1.36,184.559,2.05,88.78,1.36,184.559,3.87
ABVC,"ABVC BioPharma, Inc. - Common Stock",0.792,-7.702,87,-99.16,1.9,-61.526,87,-99.16,0.731
ABVE,Above Food Ingredients Inc. - Common Stock,1.88,-31.915,3.73,-65.684,3.73,-65.684,3.73,-65.684,1.28
ABVX,Abivax SA - American Depositary Shares,12.04,-4.07,8.3,39.157,8.3,39.157,8.3,39.157,11.55
ACAB,Atlantic Coastal Acquisition Corp. II - Class A Common Stock,10.95,1.37,9.9,12.121,10.51,5.614,9.9,12.121,11.1
ACABU,Atlantic Coastal Acquisition Corp. II - Unit,11.2,0,10,12,10.44,7.28,10,12,11.2
ACAC,Acri Capital Acquisition Corporation - Class A Common Stock,11.49,1.305,10.045,15.879,10.9,6.789,10.045,15.879,11.64
ACACU,Acri Capital Acquisition Corporation - Unit,11.96,-1.421,9.99,18.018,11,7.182,9.99,18.018,11.79
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,18.19,-12.424,27.82,-42.739,28.64,-44.378,27.82,-42.739,15.93
ACB,Aurora Cannabis Inc. - Common Shares,6.13,4.241,696,-99.082,4.8,33.125,696,-99.082,6.39
ACCD,"Accolade, Inc. - common stock",3.95,9.62,0.55,687.273,13.42,-67.735,0.55,687.273,4.33
